trade_date,market,code,name,buy,sell,net,market_cap,net_to_cap_%
20260730,KOSPI,095340,ISC,2103490400,289513100,1813977300,2321077851000,0.0782
20260730,KOSPI,024110,기업은행,2194795315,450132410,1744662905,16347230314500,0.0107
20260730,KOSPI,001040,CJ,2025669100,298245700,1727423400,3588770754000,0.0481
20260730,KOSPI,004370,농심,2059403750,386718000,1672685750,2360065096000,0.0709
20260730,KOSPI,161890,한국콜마,3283932050,1693094600,1590837450,2150422514700,0.0740
20260730,KOSPI,010060,OCI홀딩스,4148889250,2682696100,1466193150,3386780084800,0.0433
20260730,KOSPI,000100,유한양행,4217449250,2851476250,1365973000,5758521552300,0.0237
20260730,KOSPI,030000,제일기획,1546853055,273886235,1272966820,2208791520000,0.0576
20260730,KOSPI,035720,카카오,19878385100,18754111525,1124273575,15947318520000,0.0070
20260730,KOSPI,277810,레인보우로보틱스,1106080000,6243000,1099837000,7420445685000,0.0148
20260730,KOSPI,095610,테스,3029343950,1943714150,1085629800,1988272000000,0.0546
20260730,KOSPI,000720,현대건설,8770346850,7722828700,1047518150,9275935224500,0.0113
20260730,KOSPI,322000,HD현대에너지솔루션,983925050,18658600,965266450,1165920000000,0.0828
20260730,KOSPI,010130,고려아연,2295395000,1359491000,935904000,19495353046000,0.0048
20260730,KOSPI,097230,HJ중공업,951679090,21251645,930427445,1298447046720,0.0717
20260730,KOSPI,064400,LG씨엔에스,1721386650,807085900,914300750,5755025311200,0.0159
20260730,KOSPI,000810,삼성화재,6212793000,5334501000,878292000,27101016111000,0.0032
20260730,KOSPI,052690,한전기술,2070207300,1219994400,850212900,3122574000000,0.0272
20260730,KOSPI,454910,두산로보틱스,3393084200,2566267550,826816650,3662328870000,0.0226
20260730,KOSPI,298380,에이비엘바이오,815765000,5211600,810553400,3460025213400,0.0234
20260730,KOSPI,138040,메리츠금융지주,3937294450,3144603650,792690800,20751061852000,0.0038
20260730,KOSPI,002790,아모레퍼시픽홀딩스,807689100,21061800,786627300,1877048319000,0.0419
20260730,KOSPI,241710,코스메카코리아,833687050,53453000,780234050,858672000000,0.0909
20260730,KOSPI,039440,에스티아이,747909980,0,747909980,285019523860,0.2624
20260730,KOSPI,166090,하나머티리얼즈,726652500,942800,725709700,879117609300,0.0825
20260730,KOSPI,006400,삼성SDI,45487401250,44777311750,710089500,29373425685000,0.0024
20260730,KOSPI,007310,오뚜기,737375000,36537500,700837500,1308556495000,0.0536
20260730,KOSPI,047050,포스코인터내셔널,2528861750,1833619200,695242550,9077615860800,0.0077
20260730,KOSPI,005290,동진쎄미켐,1064503400,385696550,678806850,1745726815500,0.0389
20260730,KOSPI,251970,펌텍코리아,653965300,435850,653529450,556140000000,0.1175
20260730,KOSPI,001820,삼화콘덴서,698383850,48850100,649533750,619542000000,0.1048
20260730,KOSPI,089890,코세스,643444120,0,643444120,271495827940,0.2370
20260730,KOSPI,001680,대상,669308310,28490760,640817550,631287015500,0.1015
